dogri,english,type
अंधे के पजाना ते दोनों दां बधेना,both parties being useless or failing,idiom
मली थल्ले भेल ,a naturally quarrelsome person,idiom
सठ्ठियाई जाना ,reaching sixty years of age,idiom
पुक्खी शकीनी ते बोजै गजरा पल्लै नई तेला ते करदी मेला मेला,showing off without having money,idiom
प्रीत लग्गी जाणी से तो परी क्या चीज़ है ,when in love everything else seems worthless,idiom
अंदर भो ते बाह्र खलो,having no fixed place or being homeless,idiom
अरन गेई से शुक्र साहमणे आए से फेट,a matter of luck or fate,idiom
अक्खीं कन्ने बाल पुटना ,watching or looking very carefully,idiom
इक्क चुप्प सौ सुख ,silence is golden,idiom
कुत्ता अपने घर खना ,one is respected in their own home,idiom
अपना सिर आपूं नेईं मुनोंदा ,you can not do everything by yourself,idiom
काली कुत्ती भी हट्ट पर ते खान पिन को तत्पर ,hunger overrides all other conditions,idiom
कधका कारजा तायें दे खानिए मुँह बाके दे ,spending recklessly without thinking,idiom
तहती जा नेईं लगान देना ,providing every facility and comfort,idiom
अन्नी पीयै कुत्ती चत्तै ,one does the work and another takes the benefit,idiom
जोड़ियां जग छोड़ियां ,pairs/relationships form and break constantly,idiom
अग्ग लग्गै तां बद्धल नेईं बरदा ,things do not always go your way just because you want them to,idiom
थोते थोड़े डब बराबर ,small things add up to make something big,idiom
हरद्वार दा रस्ता सारे दसदे पर जांदा कुरावा कोई नेई दिन्दा,everyone gives advice but nobody helps,idiom
गल्लों मुक्का ,fighting over every little word,idiom
अपना कुर्ता चुक्को तां ढिड्ड अपना गै नंगा होंदा ऐ ,do not reveal your own weaknesses,idiom
अपनी पिट्ठी मैल नेईं लभदी ,being blind to your own faults,idiom
अन्नी बंडै रोड़ियां मुढ़-मुढ़ घरा आह्लें गी देऐ ,people only care about their own problems,idiom
चनइ सत्त नेई जानना ,being completely unaware or ignorant,idiom
दिने अत्तों बहूतों रात पोआ ते चरखा कतों ,always being busy without rest,idiom
सद्डू नेईं सुहादी अक्ख बुड्डे दी ताड़ी ,facing trouble from both sides,idiom
रूह रड़ना ,crying deeply from the heart,idiom
अन्नी पीहै कुत्ती लक्कै ,wasteful effort where the worker gets nothing,idiom
कच्छा च पाईए छट्टूना ,taking advantage of even the smallest benefit,idiom
अन्नें च काना राजा ,a figure among ciphers,idiom
मूँ कलोलां कन्ने ते घड़े च पानी नस्तै ,someone who talks big but has no substance,idiom
चंगे मरोड़े लगन ,enjoying the drama or talk of others,idiom
घड़े दी दा पतीला मुश्क रोना ,crying excessively over a small thing,idiom
समझा अक्ख मुकना ,to be very arrogant or proud,idiom
थिट्टु तेरेडना ,doing no work at all,idiom
आपे नई बसै सोरे ते ओरे की मता देवे,someone who does not act but gives advice,idiom
खंडन नेई कर पर अक्खें बड़ी चनार ,big talk but no actual work,idiom
लुक्कां चढ़ना ,provoking or instigating others,idiom
आई कुड़ी दी जंज ते बिंदो कुड़ी दा कन्न,taking advantage of an opportunity,idiom
मुँह लगना ,to argue or debate,idiom
लौग दी खुरक होना ,having the urge to fight or argue,idiom
मां की नई उजड़ा क्यो ते कुड़ी ना थिंदी,blaming someone without any reason,idiom
बाह्दी सुन्ना ,reaching forty years of age,idiom
नँगी बोक के ते नंगोड़ा के ,beating someone severely,idiom
मुँह न कुन्नियां ,refusing to speak a word,idiom
साँ करोड कुत्थै दा बत्ता नेई खाना सुत्तै दा ,a workaholic who has no time to eat,idiom
इक्क अनार सौ बमार ,huge demand for a very limited resource,idiom
हटदी रेष रहना सुह् नोटें दा थब्बा केड़ा हत्थ,money does not stay or last,idiom
पैर मुट्ठा नेईं धोना ,maintaining no cleanliness at all,idiom
घर आओ सधार अग्गें थौड़ी पकड़ाईए ,welcoming a guest properly,idiom
ओपें मोए बगैर सरग नेईं दिखदा ,no success without personal hard work,idiom
सुई गी नकला औज़ार बदना ,making a huge demand for a small thing,idiom
कुत्तुं डोली दी फग्ग सवारे दे ,giving a job to the wrong person,idiom
रब्ब तिड़ भ्वै ते कब्बै भी गस्ता,god is everywhere,idiom
टहें को ते सजा दा कोई ईलाज नेई ,certain habits have no cure,idiom
एक कनई कोड़ी कोई अन्ना ते कोई कोड़ी ,everyone has a different value,idiom
झारे ने वसारवी चूची रेई घर दी राखी,trusting the wrong person,idiom
अपनी अक्ख बगाना डेल्ला ,your own things are seen as precious but another persons things are treated like trash,idiom
अक्खीं होलै परदेश ,out of sight out of mind,idiom
मुँह न लाड़ना ,ignoring someone or refusing to speak,idiom
जुई जन्नु ते जिन्नो कुड़ी दे कन्न ,something very delicate,idiom
आपूं फिरै नंगी ते सुत्थन देऐ मंगी ,useless people are of no help to anyone,idiom
सत्तर बहत्तरा ,reaching seventy or seventy two years of age,idiom
ओह् दिन डुब्बा जदूं घोड़ी चढ़ेआ कुब्बा,no hope should be placed in useless people,idiom
मुँडे तेल पालना ,flattering or buttering someone up,idiom
