src_dogri,tgt_english
ओ कूडी आलसी ऐ,that girl is lazy
राम दा नौकर डरोकल ऐ,ram servant is timid
निक्की कुड़ी खेला दी ऐ,little girl is playing
बजार भरीदा ऐ,the market is crowded
तारे टिमटिमांदे न,the stars are shining
तुस की कर रहे ओ,what are you doing
क्या तुस इंतजार करगे,will you wait
पहाड़ उच्चे न,the mountains are high
मेरी गुड़िया रानी दे दो कन्न ऐ,my doll has two ears
मैं पढ़ियै डाक्टर बनना,i want to study and become a doctor
तुस सत्ते सबेल्ले थक्की गे,you got tired so quickly
तुस किथे जा रहे ओ,where are you going
ञ्याने बागै च खेडदे न,the children are playing in the garden
तू मीगी बड़लै बड़ी शैल खबर सनाई,you gave me good news in the morning
तेरी अक्ख बड़ी बड्‌डी ऐ,your eyes are very big
तेरी आवाज़ मीठी ऐ,your voice is sweet
खबरै कल बरखा पवै,may be it will rain tomorrow
मुड़ा कदो औगा,when will the boy come
तू खागा,will you eat
कैंची शैल तेज ऐ,scissors are very sharp
टोल्लो फल खा दा ए,the monkey is eating fruit
सूहा तै काला सप्प आया,the red and black snake has come
दरवाजा खोल,open the door
टोल्लो सारे गी दिखा दा हा,the monkey was looking at all of us
गौ घा-पत्‍तर खांदी ऐ,cow eats grass and leaves
तुंदा केह् ना ऐ,what is your name
रात काली ऐ,the night is dark
टोल्लो बड़ा शोर पा दा,the monkey is making a lot of noise
कुड़ी कम्म करा दी ऐ,the girl is working
मुड़ा पीला फल खा दा ऐ,the boy is eating yellow fruit
जंगली टोल्लो झोला विच्चा रोटी कडा दा,the wild monkey is taking out the bread from the bag
बडलै सैर करा करगे,we will walk in the morning
टोल्लो दे बच्चे दियां अंखा बडीयां निकियाँ न,the baby monkey has very small eyes
मेरी कमीज़ नीली ऐ,my shirt is blue
तेरा के हाल ऐ,how are you
फौजी दौरै पर औग,the soldier is on patrol
टोल्लो दे बच्चे रस्सी पर झुटा दे न,the baby monkies are swinging on the rope
मोहन कशा पीला झोला पगड़ो,take the yellow bag from mohan
ओ स्कूल जा रहा ऐ,he is going to school
मटर सैल्ले न,the peas are green
काशीफल बड़ा पीला ऐ,pumpkin is very yellow
इत्थै गै खड़ो,stay here
मैं घर जा रहा आं,i am going home
कुत्ते गी रुट्टी पाओ,feed the dog
ओ कुड़ी मेरी सहेली ऐ,that girl is my friend
ए किन्ना ए,how much is this
पुल पार कर,cross the bridge
केह तुस कल औगे,can you come tomorrow
टोल्लो फल लैइया नस्सी गया,the monkey ran away with the fruit
फलूसे आहला पाई आया,the balloon seller has arrived
सड़क गी ठीक करो,fix the road
मिगी भुक्ख लगी दी ऐ,i am hungry
काले घोड़े पर लाडा ऐ,the bridegroom is on the black horse
पार्क रंग-बरंगे फुल्लें कन्नै भरोचे दे है,the park is full of colorful flowers
अस स्कूल पढ़ने गी जाने आ,we go to school to study
तुंदा केह् हाल ऐ,how are you
ए के ऐ,what is this
