dogri,english,type
कां काला ऐ,the crow is black,normal
मुड़ा चा पीया दा ऐ,the boy is drinking tea,normal
केह तुस कल औगे?,can you come tomorrow?,normal
अंधे के पजाना ते दोनों दां बधेना,both parties being useless or failing,idiom
कुत्ता बौंह् बौंह् करा दा ऐ,the dog is barking,normal
ओह्दा कुत्ता कित्थै ऐ?,where is his dog?,normal
मली थल्ले भेल ,a naturally quarrelsome person,idiom
ओ पानी पीया दा ऐ,he is drinking water,normal
हुन जा,go now,normal
सावधान ओह्ई जा,be careful,normal
तू ठीक ऐ?,are you okay?,normal
साड़ा कुत्ता घाबरी गया,our dog got nervous,normal
मीं दस,show me,normal
सठ्ठियाई जाना ,reaching sixty years of age,idiom
तू कदूं औगा?,when will you come?,normal
पुक्खी शकीनी ते बोजै गजरा पल्लै नई तेला ते करदी मेला मेला,showing off without having money,idiom
प्रीत लग्गी जाणी से तो परी क्या चीज़ है ,when in love everything else seems worthless,idiom
दरवाजा खोल,open the door,normal
सड़क पार करो,cross the road,normal
इधर दिख,look here,normal
अंदर भो ते बाह्र खलो,having no fixed place or being homeless,idiom
तू कुत्थै गेदा हा?,where did you go?,normal
अरन गेई से शुक्र साहमणे आए से फेट,a matter of luck or fate,idiom
तू मी फोन कित्ता?,did you call me?,normal
अक्खीं कन्ने बाल पुटना ,watching or looking very carefully,idiom
इक्क चुप्प सौ सुख ,silence is golden,idiom
कुत्ता अपने घर खना ,one is respected in their own home,idiom
सड़क साफ़ ऐ,the road is clean,normal
अपना सिर आपूं नेईं मुनोंदा ,you can not do everything by yourself,idiom
काली कुत्ती भी हट्ट पर ते खान पिन को तत्पर ,hunger overrides all other conditions,idiom
मुड़ा सुत्ता दा ऐ,the boy is sleeping,normal
ए पढ़,read this,normal
पानी साफ नहीं ऐ,the water is not clean,normal
कधका कारजा तायें दे खानिए मुँह बाके दे ,spending recklessly without thinking,idiom
ओ कुड़ी कुत्थै ऐ?,where is that girl?,normal
ऊ कुड़ी कौन ऐ?,who is that girl?,normal
नई सड़क बनदी ऐ,a new road is being made,normal
तू अपना कम्म पूरा कित्ता?,did you finish your work?,normal
तू कौन ऐ?,who are you?,normal
ऊ मुड़ा कौन ऐ?,who is that boy?,normal
तहती जा नेईं लगान देना ,providing every facility and comfort,idiom
तेरा घर कुत्थे ऐ?,where is your house?,normal
अन्नी पीयै कुत्ती चत्तै ,one does the work and another takes the benefit,idiom
जोड़ियां जग छोड़ियां ,pairs/relationships form and break constantly,idiom
इद्दर बेई जा,sit here,normal
तू के करा दा?,what are you doing?,normal
अग्ग लग्गै तां बद्धल नेईं बरदा ,things do not always go your way just because you want them to,idiom
थोते थोड़े डब बराबर ,small things add up to make something big,idiom
मुड़ा स्कूलै च ऐ,the boy is in the school,normal
कुड़ी गाना गा दी ऐ,the girl is singing a song,normal
तुस कदू औगे?,when will you come?,normal
दरवाजा बंद कर,close the door,normal
ओ कुड़ी रूट्टी खा रही ऐ,the girl is eating food,normal
हरद्वार दा रस्ता सारे दसदे पर जांदा कुरावा कोई नेई दिन्दा,everyone gives advice but nobody helps,idiom
गल्लों मुक्का ,fighting over every little word,idiom
ऐह बड्डा कुत्ता ऐ,this is a big dog,normal
क्या तुस मीगी दिक्खी सकदे ओ?,can you see me?,normal
दवारा कर,try again,normal
बल्लै-बल्लै चल,walk slowly,normal
अपना कुर्ता चुक्को तां ढिड्ड अपना गै नंगा होंदा ऐ ,do not reveal your own weaknesses,idiom
तू के चाना ऐ?,what do you want?,normal
कुड़ी घर जा दी ऐ,girl is going home,normal
अपनी पिट्ठी मैल नेईं लभदी ,being blind to your own faults,idiom
