src_dogri,tgt_english,category
मेरे कोल आ,come to me,general
जा,go,general
इद्दर बेई जा,sit here,general
खलोई आ,stand up,general
बलगी जा,wait,general
मेरी गल्ल सुन,listen to me,general
बल्ले बोल,speak slowly,general
तौले आ,come quickly,general
घर जा,go home,general
इत्थै गै खड़ो,stay here,general
घवरा नीं,don't worry,general
मेरी मदाद कर,help me,general
मीं बला,call me,general
ए लेख लिख,write me,general
ए पढ़,read this,general
दरवाजा खोल,open the door,general
दरवाजा बंद कर,close the door,general
पानी आन,bring water,general
ए लै,take this,general
ओ मीं दे,give me that,general
अंदर आ,come inside,general
बाह्र जा,go outside,general
इधर दिख,look here,general
उधर दिख,look there,general
पिच्छे मुड़,turn back,general
सिद्दे चल,move forward,general
इत्थै रुक,stop here,general
हुनें शुरू कर,start now,general
दवारा कर,try again,general
सावधान ओह्ई जा,be careful,general
साफ बोल,speak clearly,general
बल्लै-बल्लै चल,walk slowly,general
तेज दौड़,run fast,general
वाह्‌च आ,come later,general
हुन जा,go now,general
चुप करियै बौ,stay quiet,general
मीं सना,tell me,general
मीं दस,show me,general
मीं बल्गी जा,wait for me,general
मेरे कन्ने आ,come with me,general
तू कुत्थै जा दा,where are you going,general
तू के करा दा,what are you doing,general
तू कौन ऐ,who are you,general
तू कुत्थै रौना ओह्ना,where do you live,general
ए के ऐ,what is this,general
ओ के ऐ,what is that,general
ऊ मुड़ा कौन ऐ,who is that boy,general
ऊ कुड़ी कौन ऐ,who is that girl,general
ओ मुड़ा कुत्थै ऐ,where is that boy,general
ओ कुड़ी कुत्थै ऐ,where is that girl,general
